Puertas,Con cámara de retroceso,Kilómetros,Precio_usd,Marca_Alfa Romeo,Marca_Audi,Marca_BAIC,Marca_BMW,Marca_Chery,Marca_Chevrolet,Marca_Citroën,Marca_DS,Marca_Daihatsu,Marca_Dodge,Marca_Fiat,Marca_Ford,Marca_GWM,Marca_Haval,Marca_Honda,Marca_Hyundai,Marca_Isuzu,Marca_JAC,Marca_Jaguar,Marca_Jeep,Marca_Jetour,Marca_Jetur,Marca_KAIYI,Marca_Kia,Marca_LandRover,Marca_Lexus,Marca_Lifan,Marca_Mercedes-Benz,Marca_Mini,Marca_Mitsubishi,Marca_Nissan,Marca_Peugeot,Marca_Porsche,Marca_Renault,Marca_SsangYong,Marca_Subaru,Marca_Suzuki,Marca_Toyota,Marca_Volkswagen,Marca_Volvo,Traccion_2WD,Traccion_4M,Traccion_4x2,Traccion_4x4,Traccion_AWD,Traccion_Desconocida,Traccion_FWD,Color_Blanco,Color_Color,Color_Desconocido,Color_Gris,Color_Negro,Cilindrada,Combustible_Diésel,Combustible_Eléctrico,Combustible_GNC,Combustible_Híbrido/Nafta,Combustible_Mild Hybrid,Combustible_Nafta,Combustible_Nafta/GNC,Transmision_Automática,Transmision_Automática secuencial,Transmision_Manual,Transmision_Semiautomática,Vendedor_concesionaria,Vendedor_particular,Vendedor_tienda,Modelo,antiguedad,score_estado_auto,estado_relativamente_nuevo,estado_usable,estado_viejo,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7
5.0,1,0,28240.34334763949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,8,0.0,1.0,1,0,0,False,True,False,False,False,False,False,False
5.0,0,74000,12789.69957081545,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.8,0,0,0,0,0,1,0,0,0,1,0,0,0,1,10,10.0,0.31558260671489835,0,1,0,False,False,False,False,True,False,False,False
5.0,1,0,23433.476394849786,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,10,1.0,0.9761904761904762,1,0,0,False,True,False,False,False,False,False,False
5.0,1,0,29141.630901287554,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,10,0.0,1.0,1,0,0,False,True,False,False,False,False,False,False
5.0,1,98000,19742.489270386268,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,5.0,0.4234481584661929,1,0,0,False,False,False,True,False,False,False,False
5.0,0,110000,13047.210300429184,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,11,7.0,0.3712308029851437,0,1,0,True,False,False,False,False,False,False,False
5.0,0,90000,18884.12017167382,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,12,7.0,0.37921904795417294,0,1,0,True,False,False,False,False,False,False,False
5.0,0,130000,25300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,7.0,0.3645807477275211,0,1,0,False,False,False,False,False,True,False,False
5.0,0,78523,15364.80686695279,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,8.0,0.3608400089241388,0,1,0,True,False,False,False,False,False,False,False
5.0,1,165000,26900.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,11,8.0,0.33128059155302825,0,1,0,False,False,False,False,False,True,False,False
5.0,0,150000,12789.69957081545,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.6,0,0,0,0,0,1,0,0,0,1,0,1,0,0,13,11.0,0.2636461161482882,0,0,1,False,False,False,False,True,False,False,False
5.0,1,85000,36824.03433476395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5.0,0.4291134391969372,1,0,0,False,False,False,True,False,False,False,False
5.0,0,223000,15500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,14,13.0,0.2002417792569256,0,0,1,False,False,True,False,False,False,False,False
5.0,1,0,33476.39484978541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1.4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,15,0.0,1.0,1,0,0,False,True,False,False,False,False,False,False
5.0,0,101000,17596.56652360515,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.6,0,0,0,0,0,1,0,1,0,0,0,1,0,0,16,6.0,0.3984383106201142,0,1,0,False,False,False,True,False,False,False,False
5.0,1,1000,28407.72532188841,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,17,1.0,0.7011658589652555,1,0,0,False,True,False,False,False,False,False,False
5.0,1,0,23175.87982832618,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,11,0.0,1.0,1,0,0,False,True,False,False,False,False,False,False
5.0,1,80000,21888.412017167386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.6,0,0,0,0,0,1,0,0,0,1,0,0,1,0,10,2.0,0.5029553342591506,1,0,0,False,False,False,True,False,False,False,False
5.0,1,19600,27200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.6,0,0,0,0,0,1,0,1,0,0,0,0,1,0,10,2.0,0.5589438208254203,1,0,0,False,False,False,False,False,False,False,True
